"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"75",25,35,30,20,10,10,0.7,8,5,0.193117746002449,0.148896109955067,7.66304779536274,6.94104451181368,7.74221591414596,0.178487332221194,0.236301999399186,28.7180832305065
"76",25,35,30,20,10,10,0.7,8,6,0.201770285125109,0.140347186726249,7.10689260939168,6.67601400060695,7.91512183280823,0.180516726965787,0.229562168683069,28.4002021313934
"77",25,35,30,20,10,10,0.7,8,7,0.214369479808534,0.128192229326718,6.3161447675795,6.29919057067672,8.10909349985114,0.182021466987694,0.219667331538713,27.9685245953656
"78",25,35,30,20,10,10,0.7,8,8,0.23335680412397,0.110106524144784,5.1395686702566,5.73850432264212,8.31727828648655,0.182182423044068,0.204266302315447,27.3421728308946
"79",25,35,30,20,10,10,0.7,8,9,0.26367479744026,0.0814201444962695,3.27335951370759,4.84917994114728,8.52408212843516,0.179328471424454,0.178174360386026,26.3610141614474
"80",25,35,30,20,10,10,0.7,8,10,0.162882277550222,0.0311037941521673,9.01998014988218,3.2892913216308,8.69004945795227,0.207845554577627,0.127479275258252,18.3753386684655
"81",25,35,30,20,10,10,0.7,9,1,0.130772568874046,0.235177238833473,10.4352441601141,7.84737268274817,6.74081655448688,0.167408647352798,0.240073969724889,32.2115283220288
"82",25,35,30,20,10,10,0.7,9,2,0.133348368366444,0.228949401034062,10.1167852438747,7.70827084400629,6.86105466606677,0.169889834887823,0.237738674050509,31.764378523956
"83",25,35,30,20,10,10,0.7,9,3,0.137248298562699,0.222137779170614,9.7684746766549,7.55612989934174,7.02209044129589,0.173094870739275,0.235105119375092,31.3511442332229
"84",25,35,30,20,10,10,0.7,9,4,0.142724179265546,0.214111926126341,9.35807470403244,7.3768685004601,7.21671241658436,0.176763230283768,0.231895719081834,30.9258040094941
"85",25,35,30,20,10,10,0.7,9,5,0.15025062179054,0.20408700854816,8.84545307030291,7.15295700608999,7.43954839652223,0.180621474974399,0.227725256337739,30.4423276760325
"86",25,35,30,20,10,10,0.7,9,6,0.160650993716743,0.190932837016509,8.17281782434445,6.85915207633545,7.68572671876162,0.184314488113064,0.221980588434922,29.8441905581094
"87",25,35,30,20,10,10,0.7,9,7,0.175374961740439,0.172816785100052,7.24645807547681,6.45452109308141,7.94940661497131,0.187293706686043,0.213562860336584,29.0476879856459
"88",25,35,30,20,10,10,0.7,9,8,0.197144548314741,0.146414666178944,5.89639237870577,5.86481670338856,8.22134778611797,0.188587254008153,0.200244860942449,27.9073033882669
"89",25,35,30,20,10,10,0.7,9,9,0.231661619365667,0.104856718515861,3.77133719901417,4.93659937974212,8.48324589097817,0.186228668868487,0.176758550726197,26.1272125630754
"90",25,35,30,20,10,10,0.7,9,10,0.149416875676159,0.0311037941521673,10.4720922552835,3.2892913216308,8.69004945795227,0.211188840527821,0.127479275258252,18.1594852471718
"91",25,35,30,20,10,10,0.7,10,1,0.0570604910374334,0.343535293841287,12.6958805415259,7.76180486864274,5.28884092497481,0.142487344707911,0.203814038094193,36.2784889770873
"92",25,35,30,20,10,10,0.7,10,2,0.0607272669282097,0.328054511450094,12.066807723569,7.54019466278371,5.5878147200491,0.149956628685694,0.202663991457824,35.0602570252738
"93",25,35,30,20,10,10,0.7,10,3,0.0658900526830087,0.314351022118529,11.5099564978483,7.3440267292119,5.94768515967531,0.158736910604639,0.201416976816733,34.1163478615171
"94",25,35,30,20,10,10,0.7,10,4,0.0727475728062601,0.30041716185816,10.9437439823882,7.14456099403896,6.3435486144062,0.168059167135132,0.19992849029949,33.269051003631
"95",25,35,30,20,10,10,0.7,10,5,0.0817794682320964,0.284585183940506,10.3004000795531,6.91792336056359,6.75977238898286,0.17734176564691,0.197967394740451,32.3926971410089
"96",25,35,30,20,10,10,0.7,10,6,0.0938724284491394,0.264974991815593,9.50352570273135,6.63719990590089,7.18515488644731,0.186019055670666,0.195140316606254,31.3697592617335
"97",25,35,30,20,10,10,0.7,10,7,0.110645277010016,0.238826032879907,8.44094379513534,6.26287281917472,7.60976297978158,0.193365104197231,0.190685429973593,30.0497465760827
"98",25,35,30,20,10,10,0.7,10,8,0.135255017729214,0.201188658043187,6.91152177687183,5.72408697652219,8.02148585832059,0.198186847038252,0.182898623967728,28.180427888905
"99",25,35,30,20,10,10,0.7,10,9,0.17466874811021,0.141449180898621,4.48396480455851,4.86890553327353,8.39913591739519,0.198059124614179,0.167208113348769,25.2341408416575
"100",25,35,30,20,10,10,0.7,10,10,0.138195707447773,0.0311037941521673,12.7812694174201,3.2892913216308,8.69004945795227,0.213974912152984,0.127479275258252,18.529149266578
"101",25,35,30,20,15,10,0.7,1,1,0.332941735553345,0.0343774050683563,2.63119902685646,3.6354825266117,13.2335752963134,0.252216164845228,0.140420162847017,27.3485637292511
"102",25,35,30,20,15,10,0.7,1,2,0.332981142962111,0.0343742066733197,2.62862828337982,3.63514428964338,13.2350663183638,0.252229680242734,0.140407563541754,27.3497908800644
"103",25,35,30,20,15,10,0.7,1,3,0.333055506121338,0.0343693352071166,2.6247127914472,3.63462912189803,13.2377194753848,0.252252117589093,0.140388373410159,27.3526642496559
"104",25,35,30,20,15,10,0.7,1,4,0.333183145776091,0.0343618341120742,2.61868370782022,3.63383586539996,13.241970993096,0.252284841181158,0.140358824008103,27.358007761684
"105",25,35,30,20,15,10,0.7,1,5,0.333392908798588,0.034350206467477,2.60933786681095,3.63260621765096,13.2484246831197,0.252328395457583,0.140313017762384,27.3671228258926
"106",25,35,30,20,15,10,0.7,1,6,0.333730189715782,0.0343321048629813,2.59478851279392,3.63069193509482,13.257899231495,0.252381085878155,0.140241705554158,27.3820608122889
"107",25,35,30,20,15,10,0.7,1,7,0.334266517233914,0.0343038377700998,2.57206854112165,3.62770263086884,13.2714775909421,0.252436199944855,0.140130340333654,27.4060567879148
